chr19	50490410	50490860	242.90	50490565	16.83	7.00	0.00
chr20	10200142	10200492	222.00	10200312	14.24	7.00	0.00
chr7	75831034	75831384	201.07	75831194	11.87	6.00	0.00
chr9	108006578	108006878	189.41	108006703	10.65	7.00	0.00
chr11	66189123	66189423	188.91	66189248	10.60	7.00	0.00
chr17	56708951	56709351	185.82	56709121	10.29	5.00	0.00
chr17	41438401	41438801	185.01	41438561	10.21	6.00	0.00
chr1	148241491	148241941	183.87	148241601	10.09	6.00	0.00
chr2	122288453	122288853	183.63	122288648	10.07	6.00	0.00
chr12	2861865	2862215	180.30	2861985	9.75	6.00	0.00
chr15	35261869	35262169	180.11	35262019	9.73	6.00	0.00
chr1	28975091	28975691	179.83	28975241	9.70	6.00	0.00
chr5	176264680	176264980	178.53	176264810	9.57	6.00	0.00
chr14	19614435	19614785	177.01	19614610	9.43	6.00	0.00
chr5	139701430	139701780	175.47	139701590	9.28	6.00	0.00
chr12	120729315	120729765	175.02	120729545	9.24	5.00	0.00
chr3	194247915	194248215	172.97	194248040	9.05	6.00	0.00
chr21	39661703	39662003	169.54	39661823	8.73	6.00	0.00
chr1	7135491	7135741	168.49	7135601	8.64	6.00	0.00
chr17	3749501	3749751	167.71	3749621	8.56	7.00	0.00
chr12	46122615	46122915	167.39	46122720	8.54	6.00	0.00
chr3	56528815	56529065	167.15	56528910	8.51	7.00	0.00
chr17	72667451	72667701	165.66	72667561	8.38	6.00	0.00
chr7	90893584	90893884	165.33	90893689	8.35	6.00	0.00
chr11	62608873	62609223	165.07	62609018	8.33	5.00	0.00
chr1	45187241	45187591	164.16	45187386	8.25	5.00	0.00
chr19	8759660	8759910	164.01	8759760	8.23	6.00	0.00
chr3	152939615	152939915	163.51	152939745	8.19	6.00	0.00
chr7	154861734	154861984	162.12	154861859	8.07	6.00	0.00
chr2	191885053	191885253	160.50	191885133	7.93	7.00	0.00
chr14	24630335	24630535	160.13	24630405	7.89	7.00	0.00
chr16	15684820	15685120	159.93	15684970	7.88	6.00	0.00
chr8	48282024	48282274	159.83	48282154	7.87	6.00	0.00
chr2	3622703	3622953	159.54	3622788	7.84	6.00	0.00
chr5	60704530	60704830	159.18	60704645	7.81	6.00	0.00
chr12	113652865	113653115	159.09	113652950	7.80	6.00	0.00
chrY	2803891	2804241	158.77	2804096	7.78	5.00	0.00
chr8	61764574	61764824	158.05	61764669	7.71	6.00	0.00
chr3	44574415	44574665	157.93	44574515	7.70	6.00	0.00
chr1	11969691	11969941	157.49	11969771	7.67	6.00	0.00
chr1	47052891	47053091	157.22	47052961	7.64	7.00	0.00
chr7	99679384	99679634	157.06	99679469	7.63	6.00	0.00
chr16	66907220	66907520	156.85	66907365	7.61	6.00	0.00
chr12	11653665	11653865	156.80	11653730	7.61	7.00	0.00
chr15	49913019	49913319	156.38	49913204	7.57	6.00	0.00
chr1	166845491	166845741	155.82	166845571	7.52	6.00	0.00
chr19	51925310	51925510	155.48	51925400	7.50	7.00	0.00
chr17	18684451	18684651	155.40	18684546	7.49	7.00	0.00
chr22	44263829	44264029	155.18	44263904	7.47	7.00	0.00
chr5	14809930	14810180	155.15	14810065	7.47	6.00	0.00
chr12	53845665	53845865	154.83	53845750	7.44	7.00	0.00
chr17	1480551	1480801	154.11	1480671	7.38	6.00	0.00
chr15	65588419	65588869	153.99	65588559	7.37	5.00	0.00
chr14	36004485	36004735	153.77	36004585	7.35	6.00	0.00
chr17	18967001	18967251	153.61	18967156	7.34	7.00	0.00
chr1	38455691	38455941	153.40	38455786	7.32	6.00	0.00
chr12	7724015	7724315	153.20	7724165	7.30	5.00	0.00
chr1	26735141	26735341	153.20	26735211	7.30	7.00	0.00
chr17	56736351	56736701	152.89	56736526	7.28	5.00	0.00
chr17	76588551	76588801	152.78	76588726	7.27	5.00	0.00
chr12	46121365	46121615	152.13	46121465	7.22	6.00	0.00
chr7	48019084	48019334	151.65	48019184	7.18	6.00	0.00
chr19	35953510	35953810	151.53	35953650	7.17	5.00	0.00
chr19	55728360	55728610	151.52	55728480	7.17	6.00	0.00
chr15	65597169	65597619	151.31	65597329	7.15	5.00	0.00
chr5	175223930	175224180	150.89	175224050	7.11	6.00	0.00
chr22	31198829	31199079	150.83	31198924	7.11	6.00	0.00
chr22	50978079	50978329	150.56	50978184	7.09	6.00	0.00
chr7	5463734	5463984	150.49	5463839	7.08	5.00	0.00
chr8	48540324	48540524	150.47	48540414	7.08	6.00	0.00
chr14	77396335	77396535	150.33	77396425	7.07	6.00	0.00
chr20	39135292	39135542	149.96	39135392	7.04	6.00	0.00
chr22	20104779	20105029	149.66	20104934	7.01	6.00	0.00
chr7	95238134	95238384	149.61	95238259	7.01	6.00	0.00
chr10	114612146	114612346	149.57	114612221	7.01	6.00	0.00
chr14	35135435	35135635	149.26	35135505	6.98	6.00	0.00
chr5	149461480	149461730	149.16	149461565	6.97	6.00	0.00
chr1	149223791	149223991	148.69	149223871	6.93	6.00	0.00
chr1	163291591	163291741	148.64	163291631	6.93	7.00	0.00
chr11	28131773	28131923	148.55	28131823	6.92	7.00	0.00
chr2	75390103	75390353	148.42	75390188	6.91	6.00	0.00
chr22	35772979	35773229	148.35	35773084	6.91	5.00	0.00
chr4	78783817	78784067	148.09	78783912	6.89	6.00	0.00
chr2	204416553	204416803	147.77	204416648	6.86	6.00	0.00
chr17	2653201	2653351	147.58	2653266	6.85	7.00	0.00
chr19	49982210	49982360	147.55	49982260	6.84	7.00	0.00
chr5	88123080	88123330	147.46	88123175	6.84	6.00	0.00
chr22	43011329	43011679	147.43	43011439	6.83	5.00	0.00
chr7	117391934	117392134	147.43	117392024	6.83	7.00	0.00
chr8	41909524	41909774	147.32	41909594	6.82	6.00	0.00
chr3	10215765	10215965	147.03	10215825	6.80	6.00	0.00
chr6	131949394	131949594	146.92	131949464	6.79	6.00	0.00
chr17	3336651	3336851	146.81	3336741	6.78	7.00	0.00
chr6	111060344	111060544	146.64	111060404	6.77	6.00	0.00
chr12	10320315	10320565	146.34	10320435	6.75	5.00	0.00
chr19	55195910	55196060	146.32	55195955	6.74	7.00	0.00
chr19	4400660	4400810	146.14	4400715	6.73	7.00	0.00
chr12	10281365	10281615	145.80	10281460	6.70	5.00	0.00
chr4	190861867	190862067	145.77	190861912	6.70	6.00	0.00
chr17	64464951	64465251	145.68	64465056	6.69	5.00	0.00
chr20	52539542	52539742	145.17	52539627	6.65	6.00	0.00
chr20	52228192	52228392	145.03	52228242	6.64	6.00	0.00
chr8	92053024	92053224	144.91	92053119	6.63	6.00	0.00
chr9	79191328	79191578	144.83	79191428	6.63	6.00	0.00
chr6	11526094	11526294	144.74	11526184	6.62	6.00	0.00
chr19	3142010	3142210	144.70	3142065	6.62	6.00	0.00
chr2	224822053	224822253	144.53	224822113	6.60	6.00	0.00
chr12	125211965	125212215	144.45	125212100	6.60	5.00	0.00
chr9	140317628	140317778	144.26	140317683	6.58	7.00	0.00
chr12	120730765	120731065	144.25	120730890	6.58	5.00	0.00
chr5	17118880	17119030	144.20	17118915	6.58	6.00	0.00
chr1	207378541	207378741	144.15	207378616	6.57	6.00	0.00
chrY	15815691	15815991	144.07	15815766	6.57	5.00	0.00
chr10	92501996	92502246	144.06	92502131	6.57	5.00	0.00
chr19	3877060	3877210	143.72	3877115	6.54	7.00	0.00
chr10	95462346	95462496	143.69	95462391	6.54	7.00	0.00
chr19	44293360	44293510	143.43	44293405	6.52	7.00	0.00
chr14	75701285	75701485	143.35	75701370	6.51	6.00	0.00
chr12	38710465	38710615	143.34	38710520	6.51	6.00	0.00
chr7	43612184	43612334	143.29	43612244	6.51	7.00	0.00
chr19	4723910	4724110	143.09	4724025	6.49	5.00	0.00
chr13	91796531	91796731	143.00	91796611	6.48	6.00	0.00
chr6	142468244	142468394	142.86	142468284	6.47	6.00	0.00
chr3	146262365	146262615	142.71	146262430	6.46	5.00	0.00
chr19	2549810	2550060	142.71	2549955	6.46	5.00	0.00
chr11	62276023	62276223	142.61	62276073	6.45	6.00	0.00
chr3	38847415	38847565	142.43	38847470	6.44	7.00	0.00
chr9	68726328	68726528	142.29	68726398	6.43	6.00	0.00
chr6	109644194	109644394	142.28	109644244	6.43	6.00	0.00
chr6	58287694	58287844	142.23	58287744	6.42	6.00	0.00
chr5	81147730	81147930	142.11	81147830	6.41	6.00	0.00
chr2	204651753	204651903	141.94	204651803	6.40	6.00	0.00
chr18	68089457	68089607	141.71	68089512	6.38	7.00	0.00
chr1	6305241	6305441	141.60	6305301	6.37	6.00	0.00
chr11	61334823	61334973	141.33	61334853	6.35	7.00	0.00
chr11	129913573	129913723	141.28	129913643	6.35	7.00	0.00
chr3	10362765	10362965	141.05	10362840	6.33	6.00	0.00
chr13	53288181	53288331	140.91	53288246	6.32	6.00	0.00
chr1	206785791	206785991	140.87	206785856	6.32	6.00	0.00
chr3	67164365	67164515	140.79	67164435	6.31	7.00	0.00
chr14	23624585	23624785	140.78	23624650	6.31	6.00	0.00
chr15	65903519	65903669	140.74	65903539	6.31	6.00	0.00
chr17	48785251	48785401	140.72	48785306	6.31	7.00	0.00
chr10	124671546	124671696	140.69	124671611	6.30	7.00	0.00
chr14	106094285	106094635	140.54	106094590	6.29	5.00	0.00
chr1	27022091	27022241	140.47	27022146	6.29	6.00	0.00
chr15	94717819	94717969	140.29	94717899	6.27	6.00	0.00
chr10	75571496	75571696	140.27	75571636	6.27	5.00	0.00
chr16	21610770	21610970	140.21	21610840	6.27	6.00	0.00
chr12	34175265	34175465	140.20	34175360	6.27	6.00	0.00
chr19	50019160	50019360	140.20	50019235	6.27	5.00	0.00
chr3	177063515	177063665	140.16	177063585	6.26	7.00	0.00
chr15	38310069	38310219	140.00	38310134	6.25	6.00	0.00
chr17	76907151	76907351	139.85	76907256	6.24	5.00	0.00
chr9	120466528	120466728	139.71	120466603	6.23	5.00	0.00
chr18	56554957	56555107	139.60	56555022	6.22	6.00	0.00
chr12	9270865	9271065	139.55	9270965	6.22	5.00	0.00
chr8	95565774	95565974	138.95	95565879	6.17	5.00	0.00
chr7	73002234	73002384	138.88	73002279	6.17	6.00	0.00
chr6	47210344	47210494	138.79	47210394	6.16	6.00	0.00
chr22	22337179	22337329	138.71	22337229	6.15	7.00	0.00
chr8	116440024	116440174	138.56	116440104	6.14	5.00	0.00
chr6	30418744	30418894	138.45	30418829	6.13	6.00	0.00
chr6	30685344	30685494	138.43	30685394	6.13	6.00	0.00
chr2	228235603	228235753	138.30	228235653	6.12	6.00	0.00
chr20	57226192	57226342	138.29	57226262	6.12	6.00	0.00
chr5	137688180	137688280	138.28	137688200	6.12	7.00	0.00
chr19	52111360	52111510	138.21	52111410	6.12	7.00	0.00
chrX	153140973	153141073	138.08	153141008	6.11	7.00	0.00
chr17	47295501	47295651	137.67	47295556	6.07	6.00	0.00
chr1	29508491	29508691	137.60	29508546	6.07	6.00	0.00
chr1	205091341	205091491	137.60	205091426	6.07	6.00	0.00
chr7	29242384	29242584	137.46	29242479	6.06	5.00	0.00
chr13	41345331	41345481	137.27	41345376	6.04	6.00	0.00
chr19	4870260	4870360	137.20	4870290	6.04	7.00	0.00
chr1	30209591	30209741	137.09	30209621	6.03	6.00	0.00
chr10	65462946	65463096	137.08	65462981	6.03	6.00	0.00
chr19	40967810	40967960	136.91	40967845	6.02	6.00	0.00
chr8	37707424	37707574	136.89	37707449	6.02	6.00	0.00
